date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
8/17/2024,1,Wolves,14,6,Benjamin White,saved,0.02,right,yes,left halfspace,normal pass,positional,n/a,normal pass,Declan Rice,normal pass,normal,1,5,medium,straight,n/a,no,yes,3,low,n/a,organized,6,no,no,4231,
8/17/2024,1,Wolves,14,3,Kai Havertz,blocked,0.07,left,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Thomas Partey,normal pass,normal,4,3,close,wide,n/a,no,yes,2,low,n/a,organized,5,no,no,4231,
8/17/2024,1,Wolves,15,4,Bukayo Saka,saved,0.04,left,yes,right halfspace,normal pass,positional,n/a,n/a,Thomas Partey,normal pass,normal,4,3,close,wide,Bukayo Saka,no,yes,2,low,n/a,organized,8,no,no,4231,
8/17/2024,1,Wolves,18,4,Bukayo Saka,saved,0.05,right,no,right,normal pass,positional,Bukayo Saka,normal pass,Kai Havertz,normal pass,normal,0,2,medium,straight,n/a,yes,yes,1,mid,n/a,organized,4,no,no,4231,
8/17/2024,1,Wolves,19,4,Declan Rice,off target,0.09,right,yes,right,normal pass,transition,Kai Havertz,normal pass,Bukayo Saka,driven cross,normal,0,2,close,straight,n/a,no,no,2,low,right,organized,6,yes,no,4231,
8/17/2024,1,Wolves,25,4,Kai Havertz,goal,0.38,head,no,right,dribble,positional,Oleksander Zinchenko,normal pass,Bukayo Saka,floated cross,header,0,1,very close,straight,n/a,no,yes,1,mid,n/a,organized,4,no,no,4231,
8/17/2024,1,Wolves,44,6,Gabriel Martinelli,deflected off target,0.09,right,yes,left,normal pass,positional,Oleksander Zinchenko,normal pass,Declan Rice,through ball,normal,3,4,close,narrow,n/a,yes,yes,4,mid,n/a,organized,7,no,no,4231,
8/17/2024,1,Wolves,50,7,Kai Havertz,off target,0.12,right,no,left,normal pass,transition,Declan Rice,normal pass,Gabriel Martinelli,cutback,finesse,1,2,close,straight,n/a,no,yes,1,mid,n/a,organized,6,yes,no,4231,
8/17/2024,1,Wolves,58,8,Thomas Partey,off target,0.07,left,no,left halfspace,dribble,transition,Gabriel Martinelli,normal pass,Oleksander Zinchenko,cutback,normal,0,5,medium,straight,n/a,no,no,3,mid,left,organized,6,no,no,4231,
8/17/2024,1,Wolves,70,5,Martin Odegaard,saved,0.02,left,yes,right,normal pass,positional,Declan Rice,normal pass,Bukayo Saka,normal pass,normal,1,6,medium,wide,Bukayo Saka,no,yes,4,low,n/a,organized,10,no,no,4231,
8/17/2024,1,Wolves,73,6,Bukayo Saka,goal,0.05,left,yes,left halfspace,dribble,transition,Thomas Partey,normal pass,Kai Havertz,normal pass,normal,6,3,close,wide,Bukayo Saka,no,yes,2,mid,n/a,organized,7,yes,no,4231,
8/24/2024,2,Aston Villa,7,10,Declan Rice,saved,0.04,left,no,left,dribble,transition,Gabriel Martinelli,normal pass,Bukayo Saka,floated cross,normal,0,4,close,wide,n/a,no,yes,2,low,n/a,organized,8,yes,no,442,
8/24/2024,2,Aston Villa,16,8,Bukayo Saka,saved,0.07,left,yes,left,normal pass,positional,Bukayo Saka,normal pass,Martin Odegaard,normal pass,normal,2,3,close,wide,Bukayo Saka,no,yes,2,low,right,organized,7,no,no,442,
8/24/2024,2,Aston Villa,32,4,Thomas Partey,off target,0.02,right,yes,left,normal pass,positional,n/a,n/a,Gabriel Martinelli,normal pass,normal,2,7,medium,straight,n/a,no,yes,3,mid,n/a,organized,5,no,no,442,
8/24/2024,2,Aston Villa,39,7,Kai Havertz,off target,0.61,left,yes,right halfspace,normal pass,positional,Declan Rice,through ball,Gabriel Martinelli,driven cross,normal,0,1,very close,straight,n/a,no,yes,1,low,n/a,organized,7,no,no,442,
8/24/2024,2,Aston Villa,67,9,Leandro Trossard,goal,0.07,right,yes,right halfspace,normal pass,positional,Martin Odegaard,through ball,Bukayo Saka,cutback,normal,0,2,close,straight,n/a,yes,yes,3,low,n/a,organized,9,no,no,442,
8/24/2024,2,Aston Villa,77,10,Thomas Partey,goal,0.05,right,yes,left,through ball over top,positional,Leandro Trossard,driven cross,Bukayo Saka,normal pass,normal,0,5,medium,straight,n/a,no,no,2,mid,n/a,organized,8,no,no,442,
8/24/2024,2,Aston Villa,80,4,Martin Odegaard,off target,0.48,left,yes,left,through ball,positional,Leandro Trossard,normal pass,Declan Rice,cutback,normal,0,2,close,straight,n/a,no,no,1,mid,n/a,organized,6,no,no,442,
8/31/2024,3,Brighton,8,4,Bukayo Saka,saved,0.36,left,yes,right,normal pass,positional,Bukayo Saka,normal pass,Martin Odegaard,chip pass,volley,0,3,close,wide,n/a,yes,no,0,low,n/a,organized,8,no,no,4231,played short from corner
8/31/2024,3,Brighton,18,3,Martin Odegaard,saved,0.31,right,no,left,dribble,positional,Benjamin White,long pass,Leandro Trossard,floated cross,volley,0,2,close,straight,n/a,no,no,0,mid,n/a,organized,5,no,no,4231,
8/31/2024,3,Brighton,38,4,Kai Havertz,goal,0.45,left,yes,middle,clearance,transition,Jurrien Timber,clearance,Bukayo Saka,clearance,chip,0,5,medium,straight,n/a,no,no,0,high,n/a,disjointed,0,yes,yes,4231,
8/31/2024,3,Brighton,45,7,Leandro Trossard,saved,0.05,right,yes,left,through ball over top,positional,n/a,n/a,Gabriel,through ball over top,normal,5,4,close,wide,Leandro Trossard,no,yes,2,high,n/a,organized,6,no,no,4231,
8/31/2024,3,Brighton,74,5,Kai Havertz,saved,0.29,left,yes,middle,clearance,transition,n/a,n/a,Gabriel,clearance,normal,2,2,close,wide,n/a,no,yes,0,high,n/a,disjointed,2,yes,no,4231,playing with 10 men
8/31/2024,3,Brighton,77,5,Bukayo Saka,saved,0.49,left,yes,right,normal pass,transition,Thomas Partey,through ball,Kai Havertz,driven cross,normal,0,2,close,straight,n/a,no,no,0,high,n/a,disjointed,2,yes,no,4231,playing with 10 men
9/15/2024,4,Tottenham Hotspur,18,5,Kai Havertz,blocked,0.11,head,no,left,dribble,positional,Jorginho,pass,Gabriel Martinelli,floated cross,header,0,2,close,straight,Gabriel Martinelli,no,yes,0,low,n/a,organized,8,no,no,433,
9/15/2024,4,Tottenham Hotspur,19,4,Gabriel Martinelli,saved,0.25,right,yes,left halfspace,through ball,positional,Jorginho,pass,Leandro Trossard,through ball,normal,3,4,close,wide,n/a,no,no,0,mid,n/a,organized,3,no,no,433,
9/15/2024,4,Tottenham Hotspur,23,n/a,Leandro Trossard,blocked,0.05,left,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,volley,0,2,close,straight,n/a,no,yes,4,low,n/a,organized,10,no,no,433,
9/15/2024,4,Tottenham Hotspur,23,3,Kai Havertz,saved,0.03,head,no,right halfspace,recovery,set piece,n/a,n/a,Bukayo Saka,floated cross,header,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,8,no,no,433,took place right after row 28
9/15/2024,4,Tottenham Hotspur,64,n/a,Gabriel,goal,0.52,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,no,2,low,n/a,organized,10,no,no,433,
9/22/2024,5,Manchester City,22,8,Riccardo Calafiori,goal,0.02,left,yes,left,through ball over top,transition,Thomas Partey,through ball,Gabriel Martinelli,normal pass,normal,0,7,medium,wide,n/a,no,no,3,low,n/a,organized,9,yes,no,433,free kick taken quickly from partey for pre-assist
9/22/2024,5,Manchester City,38,n/a,Gabriel,off target,0.48,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,yes,1,low,n/a,organized,10,no,no,433,
9/22/2024,5,Manchester City,42,5,Leandro Trossard,off target,0.1,right,yes,left halfspace,normal pass,positional,Gabriel,through ball,Gabriel Martinelli,cutback,normal,0,2,close,straight,n/a,no,yes,1,mid,left,organized,7,no,no,433,
9/22/2024,5,Manchester City,45,n/a,Gabriel,goal,0.6,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,yes,0,low,n/a,organized,10,no,no,433,
9/22/2024,5,Manchester City,96,n/a,Kai Havertz,saved,0.09,left,yes,right halfspace,recovery,set piece,n/a,n/a,n/a,n/a,volley,0,3,close,straight,n/a,no,yes,0,mid,n/a,organized,2,yes,yes,433,"with 10 men, very scrappy"
9/28/2024,6,Leicester City,13,10,Jurrien Timber,blocked,0.05,right,yes,right,normal pass,positional,Bukayo Saka,normal pass,Thomas Partey,normal pass,normal,1,3,close,wide,Bukayo Saka,yes,yes,1,low,n/a,organized,8,no,no,4231,
9/28/2024,6,Leicester City,20,6,Gabriel Martinelli,goal,0.3,right,yes,right,dribble,positional,Bukayo Saka,through ball,Jurrien Timber,driven cross,normal,0,2,close,straight,n/a,no,yes,2,low,right,organized,8,no,no,4231,overlap from Timber
9/28/2024,6,Leicester City,34,7,Gabriel Martinelli,off target,0.06,right,yes,right,dribble,positional,Kai Havertz,through ball,Jurrien Timber,floated cross,volley,0,2,close,straight,n/a,no,no,2,low,right,organized,8,no,no,4231,
9/28/2024,6,Leicester City,45,4,Leandro Trossard,goal,0.44,right,yes,left halfspace,dribble,positional,Declan Rice,normal pass,Gabriel Martinelli,normal pass,normal,0,2,close,straight,n/a,no,no,1,low,n/a,organized,9,no,no,4231,
9/28/2024,6,Leicester City,47,8,Kai Havertz,blocked,0.07,head,no,left,dribble,transition,Kai Havertz,normal pass,Gabriel Martinelli,floated cross,header,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,8,yes,no,4231,
9/28/2024,6,Leicester City,56,5,Bukayo Saka,off target,0.05,right,no,right,normal pass,positional,Kai Havertz,normal pass,Jurrien Timber,through ball,normal,1,3,close,narrow,n/a,yes,yes,0,mid,n/a,organized,7,no,no,4231,
9/28/2024,6,Leicester City,75,n/a,Gabriel,saved,0.04,left,yes,left corner,recovery,set piece,n/a,n/a,Bukayo Saka,normal pass,normal,1,3,close,wide,n/a,no,no,1,low,n/a,organized,8,no,no,4231,
9/28/2024,6,Leicester City,86,5,Ethan Nwaneri,saved,0.02,left,yes,right,dribble,positional,n/a,n/a,Jurrien Timber,normal pass,normal,7,8,far,straight,Ethan Nwaneri,no,no,3,low,n/a,organized,5,no,no,4231,
9/28/2024,6,Leicester City,94,n/a,Leandro Trossard,own goal,0.03,left,no,right corner,set piece,positional,n/a,n/a,Bukayo Saka,corner,volley,0,4,close,wide,n/a,no,no,5,low,n/a,organized,9,yes,no,4231,
9/28/2024,6,Leicester City,99,8,Gabriel Jesus,saved,0.1,right,yes,right halfspace,dribble,transition,n/a,n/a,Ethan Nwaneri,normal pass,finesse,7,3,close,wide,n/a,no,yes,3,high,n/a,disjointed,3,no,yes,4231,
9/28/2024,6,Leicester City,99,9,Kai Havertz,goal,0.89,other,no,right halfspace,dribble,transition,n/a,n/a,n/a,n/a,normal,0,1,very close,straight,n/a,no,no,4,high,n/a,disjointed,4,yes,yes,4231,
10/5/2024,7,Southampton,4,n/a,Gabriel,blocked,0.2,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,yes,2,low,n/a,organized,10,no,no,541,
10/5/2024,7,Southampton,4,n/a,Gabriel Jesus,blocked,0.13,left,no,right corner,recovery,set piece,n/a,n/a,n/a,n/a,volley,1,2,close,straight,n/a,no,yes,4,low,n/a,organized,10,no,no,541,
10/5/2024,7,Southampton,5,5,Gabriel Jesus,blocked,0.12,right,yes,right,dribble,positional,Kai Havertz,normal pass,Bukayo Saka,driven cross,normal,1,2,close,straight,Bukayo Saka,no,yes,2,low,n/a,organized,8,no,no,541,
10/5/2024,7,Southampton,11,n/a,Kai Havertz,off target,0.08,head,no,left corner,set piece,set piece,n/a,n/a,Declan Rice,corner,header,0,1,close,straight,n/a,no,yes,1,low,n/a,organized,10,no,no,541,
10/5/2024,7,Southampton,15,10,Bukayo Saka,blocked,0.06,right,no,left,dribble,positional,Raheem Sterling,normal pass,Gabriel,floated cross,normal,3,3,close,wide,n/a,no,yes,3,low,n/a,organized,9,no,no,541,
10/5/2024,7,Southampton,20,6,Bukayo Saka,blocked,0.07,left,yes,right halfspace,recovery,transition,Bukayo Saka,normal pass,Gabriel Jesus,normal pass,normal,2,3,close,wide,n/a,no,yes,1,mid,n/a,organized,7,no,no,541,
10/5/2024,7,Southampton,30,4,Kai Havertz,blocked,0.09,right,no,left halfspace,recovery,transition,Declan Rice,normal pass,Gabriel Jesus,normal pass,normal,1,2,close,straight,n/a,no,yes,1,mid,n/a,organized,6,no,no,541,
10/5/2024,7,Southampton,40,3,Bukayo Saka,blocked,0.06,left,yes,left,dribble,positional,Bukayo Saka,normal pass,Jorginho,normal pass,normal,5,3,close,wide,n/a,no,yes,3,low,n/a,organized,9,no,no,541,
10/5/2024,7,Southampton,40,n/a,Jorginho,off target,0.04,right,yes,middle,recovery,positional,n/a,n/a,n/a,n/a,normal,1,5,medium,straight,n/a,no,no,4,low,n/a,organized,9,no,no,541,
10/5/2024,7,Southampton,45,5,Raheem Sterling,blocked,0.11,right,yes,left halfspace,dribble,transition,Kai Havertz,normal pass,Gabriel Jesus,normal pass,normal,5,2,close,straight,Raheem Sterling,no,yes,1,high,n/a,organized,6,yes,no,541,
10/5/2024,7,Southampton,46,6,Thomas Partey,saved,0.03,right,yes,right halfspace,normal pass,positional,Kai Havertz,normal pass,Bukayo Saka,normal pass,normal,0,5,medium,wide,n/a,no,no,2,low,n/a,organized,9,no,no,541,
10/5/2024,7,Southampton,58,2,Kai Havertz,goal,0.27,left,yes,right halfspace,normal pass,transition,n/a,n/a,Bukayo Saka,normal pass,normal,1,2,close,straight,n/a,no,yes,1,high,n/a,disjointed,2,yes,no,541,
10/5/2024,7,Southampton,64,10,Thomas Partey,deflected off target,0.04,right,yes,left,normal pass,positional,Gabriel Martinelli,normal pass,Mikel Merino,normal pass,normal,1,5,medium,straight,n/a,no,yes,4,low,n/a,organized,9,no,no,541,
10/5/2024,7,Southampton,68,6,Gabriel Martinelli,goal,0.59,left,no,right,dribble,positional,n/a,n/a,Bukayo Saka,floated cross,volley,0,1,very close,straight,Bukayo Saka,no,no,0,mid,n/a,organized,6,no,no,541,
10/5/2024,7,Southampton,73,10,Bukayo Saka,saved,0.09,left,yes,right halfspace,normal pass,positional,n/a,n/a,Leandro Trossard,normal pass,normal,5,3,close,wide,Bukayo Saka,no,no,2,low,n/a,organized,10,no,no,541,
10/5/2024,7,Southampton,80,5,Kai Havertz,off target,0.07,right,no,middle,normal pass,transition,n/a,n/a,Leandro Trossard,through ball,normal,4,3,close,narrow,n/a,no,yes,0,high,n/a,organized,3,no,no,541,
10/5/2024,7,Southampton,88,4,Bukayo Saka,goal,0.09,right,no,middle,dribble,transition,n/a,n/a,n/a,n/a,normal,0,2,close,straight,n/a,no,yes,1,high,n/a,disjointed,4,yes,yes,541,"Trossard dribbled into box to then get tackled, tackle went to saka"
10/19/2024,8,Bournemouth,35,10,Mikel Merino,off target,0.08,left,yes,left halfspace,normal pass,positional,Leandro Trossard,pass,Raheem Sterling,floated cross,normal,1,2,close,straight,Raheem Sterling,no,yes,1,mid,n/a,organized,8,yes,no,4231,down to ten men
10/19/2024,8,Bournemouth,46,8,Thomas Partey,off target,0.05,right,yes,right halfspace,recovery,positional,n/a,n/a,n/a,n/a,volley,0,5,medium,straight,Declan Rice,no,yes,5,low,n/a,organized,9,no,no,4231,down to ten men
10/27/2024,9,Liverpool,9,4,Bukayo Saka,goal,0.24,left,yes,right halfspace,through ball over top,positional,n/a,n/a,Ben White,through ball over top,normal,2,3,close,wide,Bukayo Saka,no,yes,0,high,n/a,organized,4,no,no,433,
10/27/2024,9,Liverpool,24,4,Bukayo Saka,off target,0.05,left,yes,right halfspace,normal pass,positional,Thomas Partey,normal pass,Kai Havertz,normal pass,normal,3,5,medium,straight,Bukayo Saka,no,yes,3,low,n/a,organized,4,no,no,433,
10/27/2024,9,Liverpool,30,7,Kai Havertz,off target,0.11,left,yes,left halfspace,through ball over top,positional,Leandro Trossard,through ball over top,Gabriel Martinelli,floated cross,volley,0,2,close,straight,n/a,no,yes,2,mid,n/a,organized,6,no,no,433,very scrappy
10/27/2024,9,Liverpool,43,n/a,Mikel Merino,goal,0.46,head,no,free kick,set piece,set piece,n/a,n/a,Declan Rice,cross from free kick,header,0,1,very close,straight,n/a,no,no,0,low,n/a,organized,9,no,no,433,
10/27/2024,9,Liverpool,77,3,Kai Havertz,off target,0.06,left,yes,left halfspace,recovery,positional,Declan Rice,pass,Mikel Merino,normal pass,volley,0,5,medium,straight,n/a,no,yes,1,low,n/a,organized,6,no,no,433,
10/27/2024,9,Liverpool,87,10,Gabriel Jesus,blocked,0.09,right,yes,left,through ball,transition,Leandro Trossard,through ball,Kai Havertz,floated cross,volley,0,1,very close,narrow,n/a,no,yes,1,high,left,organized,8,yes,no,433,
10/27/2024,9,Liverpool,88,n/a,Gabriel Jesus,saved,0.02,right,yes,right corner,set piece,set piece,n/a,n/a,n/a,n/a,volley,2,5,medium,straight,Gabriel Jesus,no,no,2,mid,n/a,organized,7,no,no,433,
11/2/2024,10,Newcastle,11,6,Bukayo Saka,off target,0.05,left,yes,middle,through ball over top,positional,David Raya,through ball over top,Jurrien Timber,normal pass,normal,3,3,close,wide,n/a,no,yes,2,high,n/a,organized,6,no,no,433,
11/2/2024,10,Newcastle,18,3,Bukayo Saka,off target,0.06,head,no,left,through ball,positional,Gabriel Martinelli,through ball,Kai Havertz,floated cross,header,0,1,close,straight,n/a,no,yes,1,low,n/a,organized,7,no,no,433,
11/2/2024,10,Newcastle,26,n/a,Mikel Merino,blocked,0.14,head,no,left corner,set piece,set piece,n/a,n/a,n/a,n/a,header,0,1,very close,straight,n/a,no,no,4,low,n/a,organized,10,no,no,433,
11/2/2024,10,Newcastle,26,n/a,Jurrien Timber,blocked,0.06,right,yes,left corner,set piece,set piece,n/a,n/a,Gabriel,normal pass,normal,0,2,close,straight,n/a,no,no,8,low,n/a,organized,10,no,no,433,
11/2/2024,10,Newcastle,64,4,Declan Rice,deflected off target,0.07,right,yes,left halfspace,dribble,positional,n/a,n/a,Thomas Partey,normal pass,normal,9,2,close,wide,Declan Rice,no,yes,3,mid,n/a,organized,8,no,no,433,
11/2/2024,10,Newcastle,68,n/a,Leandro Trossard,blocked,0.04,right,yes,left corner,set piece,set piece,n/a,n/a,Declan Rice,corner,volley,0,3,close,narrow,n/a,no,yes,6,low,n/a,organized,10,no,no,433,
11/2/2024,10,Newcastle,93,3,Declan Rice,off target,0.44,head,no,right,normal pass,positional,Ethan Nwaneri,normal pass,Bukayo Saka,floated cross,header,0,1,very close,straight,Bukayo Saka,no,yes,0,low,n/a,organized,7,no,no,433,
11/10/2024,11,Chelsea,60,10,Gabriel Martinelli,goal,0.32,right,yes,left halfspace,normal pass,transition,Thomas Partey,normal pass,Martin Odegaard,through ball over top,normal,1,1,very close,narrow,n/a,no,no,1,high,n/a,disjointed,6,yes,no,4231,
11/10/2024,11,Chelsea,66,4,Jurrien Timber,off target,0.04,right,yes,middle,dribble,positional,n/a,n/a,Gabriel,normal pass,normal,6,5,medium,straight,Jurrien Timber,no,yes,1,mid,n/a,organized,0,no,no,4231,"solo run from Timber, reason for why there's no people in box"
11/10/2024,11,Chelsea,96,4,Leandro Trossard,off target,0.49,right,yes,left halfspace,normal pass,positional,Martin Odegaard,through ball,William Saliba,driven cross,normal,0,1,very close,straight,n/a,no,no,0,high,left,organized,6,no,no,4231,
11/23/2024,12,Nottingham Forest,2,9,Leandro Trossard,saved,0.5,right,yes,left,normal pass,positional,n/a,n/a,Bukayo Saka,normal pass,normal,0,2,close,straight,n/a,no,no,0,low,n/a,organized,7,no,no,4231,"very scrappy play: starts from recovery from corner on the left. cross goes in, defender clears to Saka who scuffs shot that bounces to Trossard."
11/23/2024,12,Nottingham Forest,14,4,Martin Odegaard,blocked,0.1,left,yes,left,dribble,positional,Gabriel,normal pass,Leandro Trossard,normal pass,normal,0,2,close,straight,Leandro Trossard,no,no,2,low,n/a,organized,5,no,no,4231,not intentional pass from Trossard to odegaard
11/23/2024,12,Nottingham Forest,15,7,Bukayo Saka,goal,0.1,left,yes,right halfspace,normal pass,positional,Bukayo Saka,normal pass,Martin Odegaard,normal pass,normal,5,2,close,straight,Bukayo Saka,yes,no,3,low,n/a,organized,7,no,no,4231,
11/23/2024,12,Nottingham Forest,26,7,Gabriel Jesus,off target,0.11,right,yes,right,normal pass,positional,Mikel Merino,normal pass,Jorginho,normal pass,finesse,1,2,close,straight,n/a,yes,no,2,low,n/a,organized,6,no,no,4231,
11/23/2024,12,Nottingham Forest,40,6,Bukayo Saka,blocked,0.11,left,yes,right halfspace,dribble,transition,Bukayo Saka,through ball,Jurrien Timber,cutback,normal,1,2,close,straight,n/a,yes,no,3,mid,n/a,organized,7,no,no,4231,
11/23/2024,12,Nottingham Forest,40,10,Leandro Trossard,saved,0.06,right,yes,right halfspace,dribble,transition,n/a,n/a,Bukayo Saka,normal pass,normal,0,3,close,wide,n/a,yes,yes,1,mid,n/a,organized,7,no,no,4231,took place right after shot in row 87 got blocked
11/23/2024,12,Nottingham Forest,42,6,Bukayo Saka,saved,0.06,left,yes,right halfspace,dribble,positional,Martin Odegaard,normal pass,Gabriel Jesus,normal pass,finesse,0,3,close,wide,Martin Odegaard,yes,no,2,mid,n/a,organized,6,no,no,4231,
11/23/2024,12,Nottingham Forest,51,7,Thomas Partey,goal,0.03,right,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Bukayo Saka,normal pass,normal,1,5,close,wide,n/a,no,no,2,mid,n/a,organized,7,no,no,4231,
11/23/2024,12,Nottingham Forest,84,3,Ethan Nwaneri,off target,0.07,left,yes,right,dribble,positional,Thomas Partey,normal pass,Jurrien Timber,normal pass,finesse,9,3,close,wide,Ethan Nwaneri,no,yes,1,mid,n/a,organized,5,no,no,4231,
11/23/2024,12,Nottingham Forest,86,5,Ethan Nwaneri,goal,0.13,left,yes,right halfspace,dribble,positional,Ethan Nwaneri,normal pass,Raheem Sterling,cutback,normal,0,2,close,straight,n/a,yes,no,2,mid,n/a,organized,6,no,no,4231,fre kick taken quickly to break forest's midfield line
11/23/2024,12,Nottingham Forest,92,n/a,Gabriel,off target,0.04,left,yes,right corner,set piece,set piece,n/a,n/a,Ethan Nwaneri,corner,volley,0,4,close,narrow,n/a,no,no,3,low,n/a,disjointed,10,no,no,4231,
11/30/2024,13,West Ham,10,n/a,Gabriel,goal,0.44,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,no,2,low,n/a,organized,10,no,no,4231,
11/30/2024,13,West Ham,22,7,Bukayo Saka,off target,0.08,left,yes,middle,dribble,transition,Kai Havertz,normal pass,Martin Odegaard,normal pass,finesse,1,3,close,wide,n/a,no,no,1,high,n/a,disjointed,5,yes,yes,4231,
11/30/2024,13,West Ham,25,n/a,Jurrien Timber,saved,0.05,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,wide,n/a,no,yes,1,low,n/a,organized,10,no,no,4231,
11/30/2024,13,West Ham,27,7,Leandro Trossard,goal,0.79,right,yes,right,dribble,positional,Martin Odegaard,through ball,Bukayo Saka,normal pass,normal,0,1,very close,straight,n/a,yes,no,0,low,n/a,organized,7,no,no,4231,
11/30/2024,13,West Ham,33,n/a,Martin Odegaard,goal,0.76,left,yes,right,dribble,penalty,n/a,n/a,Bukayo Saka,penalty drawn,penalty,0,2,close,straight,Bukayo Saka,no,no,0,low,n/a,organized,6,no,no,4231,penalty drawn by Bukayo Saka beating two defenders
11/30/2024,13,West Ham,36,3,Kai Havertz,goal,0.51,left,yes,middle,through ball over top,transition,Martin Odegaard,normal pass,Leandro Trossard,through ball over top,normal,2,2,close,straight,n/a,no,no,0,high,n/a,disjointed,1,yes,no,4231,
11/30/2024,13,West Ham,50,n/a,Bukayo Saka,goal,0.76,left,yes,right corner,set piece,penalty,n/a,n/a,Gabriel,penalty drawn,penalty,0,2,close,straight,n/a,no,no,0,low,n/a,organized,1,no,no,4231,
